"feature_id_full","feature_id","feature_mz","feature_rt","WT_vs_xthA1_p_value","WT_vs_xthA2_p_value","WT_vs_xthB1_p_value","xthA1_vs_xthA2_p_value","xthA1_vs_xthB1_p_value","xthA2_vs_xthB1_p_value","WT_vs_xthA1_p_value_minus_log10","WT_vs_xthA2_p_value_minus_log10","WT_vs_xthB1_p_value_minus_log10","xthA1_vs_xthA2_p_value_minus_log10","xthA1_vs_xthB1_p_value_minus_log10","xthA2_vs_xthB1_p_value_minus_log10","xthA2_vs_xthB1_fold_change","xthA1_vs_xthB1_fold_change","WT_vs_xthB1_fold_change","xthA1_vs_xthA2_fold_change","WT_vs_xthA2_fold_change","WT_vs_xthA1_fold_change","xthA2_vs_xthB1_fold_change_log2","xthA1_vs_xthB1_fold_change_log2","WT_vs_xthB1_fold_change_log2","xthA1_vs_xthA2_fold_change_log2","WT_vs_xthA2_fold_change_log2","WT_vs_xthA1_fold_change_log2","canopus_npc_pathway","canopus_npc_superclass","canopus_npc_class","sirius_name","gnps_smiles","met_annot_structure_smiles","sirius_smiles","gnps_inchi","gnps_inchi_aux","gnps_inchikey","gnps_inchikey_planar","met_annot_short_inchikey","met_annot_structure_inchi","met_annot_structure_inchikey","sirius_inchi","sirius_inchikey2d"
"882_220.07_7.3",882,220.066881741244,7.2569256,0.00231283333421739,0.00952665400077723,0.999131263066942,0.840146606679989,0.00185729792792244,0.00757456318356264,2.63585566192788,2.02105960766809,0.00037745163308865,0.0756449223708374,2.73111842578386,2.12064240737197,0.599890918225406,0.554521603390101,0.978729595924075,0.92437072564873,1.6315126070242,1.76499813522242,-0.737227904236733,-0.850684428014093,-0.0310177687707759,-0.113456523777361,0.706210135465956,0.819666659243318,"Alkaloids","Histidine alkaloids","Imidazole alkaloids","3-amino-N-(2,2,2-trifluoroethyl)azetidine-1-carboxamide",NA,"N[C@@H](CN1C=C(F)C(=O)NC1O)C(=O)O","C1C(CN1C(=O)NCC(F)(F)F)N",NA,NA,NA,NA,"YIBVSVWKLVBIKS","InChI=1S/C7H10FN3O4/c8-3-1-11(2-4(9)6(13)14)7(15)10-5(3)12/h1,4,7,15H,2,9H2,(H,10,12)(H,13,14)/t4-,7?/m0/s1","YIBVSVWKLVBIKS-LRYVRFSDSA-N","InChI=1S/C6H10F3N3O/c7-6(8,9)3-11-5(13)12-1-4(10)2-12/h4H,1-3,10H2,(H,11,13)","IUVMQZIDYWDAOZ"
"865_168.07_6.5",865,168.074164284922,6.524923,0.00471360009303323,0.0699382191626815,1,0.439266542552315,0.00471360009303323,0.0699382191626814,2.32664726626571,1.15528543032914,0,0.357271874217628,2.32664726626571,1.15528543032914,0.719557500365997,0.62192910094708,1,0.864321615202038,1.38974300106851,1.60790031930841,-0.474818116499596,-0.685177970386862,0,-0.210359853887267,0.474818116499596,0.685177970386862,NA,NA,NA,NA,NA,"COc1ccc(C(N)=O)c(O)c1",NA,NA,NA,NA,NA,"BCYRZPCPWKCINY","InChI=1S/C8H9NO3/c1-12-5-2-3-6(8(9)11)7(10)4-5/h2-4,10H,1H3,(H2,9,11)","BCYRZPCPWKCINY-UHFFFAOYSA-N",NA,NA
"700_146.09_4.4",700,146.092402242703,4.4166703,0.00500694834941462,0.182186189956527,0.000221849451442213,0.206711689324515,0.262775085467906,0.00764930898934157,2.30042688866499,0.739484546424409,3.65394164080776,0.684634963790743,0.580415813985704,2.11637779565299,1.32925419176315,1.13489205112553,1.61709210105262,0.853781058700434,1.21654090773088,1.4248862695345,0.41061701592339,0.182555077505308,0.693401849465818,-0.228061938418082,0.282784833542428,0.51084677196051,"Amino acids and Peptides","Small peptides","Aminoacids","2-methylbut-2-enediamide","NC(=N)NCCCC(O)=O","N=C(N)NCCCC(=O)O","CC(=CC(=O)N)C(=O)N","InChI=1S/C5H11N3O2/c6-5(7)8-3-1-2-4(9)10/h1-3H2,(H,9,10)(H4,6,7,8)",NA,"TUHVEAJXIMEOSA-UHFFFAOYSA-N","TUHVEAJXIMEOSA","TUHVEAJXIMEOSA","InChI=1S/C5H11N3O2/c6-5(7)8-3-1-2-4(9)10/h1-3H2,(H,9,10)(H4,6,7,8)","TUHVEAJXIMEOSA-UHFFFAOYSA-N","InChI=1S/C5H8N2O2/c1-3(5(7)9)2-4(6)8/h2H,1H3,(H2,6,8)(H2,7,9)","HWYGBPPFPNZPGQ"
"477_138.05_2.7",477,138.048885048563,2.698066,0.00812404327648453,0.00193236654878415,0.0417267567843386,0.832363471324376,0.786405682072377,0.328188850162416,2.09022777179008,2.71391048919639,1.37958536955147,0.0796869872666981,0.104353357226068,0.483876177686314,0.873046741043185,0.928979429290894,1.33500832147803,1.06406608674912,1.52913728293958,1.43706984179086,-0.195869200178047,-0.106281444015267,0.41684873466015,0.0895877561627799,0.612717934838197,0.523130178675418,"Alkaloids","Fatty acyls","Pyridine alkaloids","(Z)-fluoro(prop-1-en-2-ylsulfanyl)diazene",NA,NA,"CC(=C)SN=NF",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C3H5FN2S/c1-3(2)7-6-5-4/h1H2,2H3","MXNWHAZAOVCVNE"
"475_137.05_2.7",475,137.045819042555,2.6970472,0.00965535828629083,0.00194452010830592,0.0291843014029973,0.784398721396604,0.919730508544252,0.428875142077353,2.01523160599934,2.71118756144882,1.53485069812064,0.105463122922219,0.0363394072167298,0.36766912506308,0.889136729643767,0.952270610015007,1.35138364269053,1.07100581751531,1.51988282300739,1.41911724301691,-0.169522804053724,-0.0705564874784528,0.434437297784512,0.0989663165752716,0.603960101838236,0.504993785262964,"Alkaloids","Pseudoalkaloids (transamidation)","Purine alkaloids","Sarkin",NA,NA,"C1=NC2=C(N1)C(=O)N=CN2",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)","FDGQSTZJBFJUBT"
"476_138.04_2.7",476,138.042707888246,2.6970541,0.0100082276261995,0.00206377896028842,0.028402566580502,0.79234969559315,0.931400149582786,0.456002454589528,1.99964282564895,2.6853368193838,1.54664241342531,0.10108310458705,0.0308636966556246,0.341032819590349,0.89367549758052,0.955460809768767,1.34716991313459,1.06913618237886,1.50744863967048,1.4099687808866,-0.162177025243268,-0.0657313956373039,0.429931823611795,0.0964456296059643,0.592108848855064,0.495663219249099,"Alkaloids","Histidine alkaloids","Halogenated fatty acids","chloro (NZ,1Z)-N-ethylidenemethanehydrazonate",NA,NA,"CC=NN=COCl",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C3H5ClN2O/c1-2-5-6-3-7-4/h2-3H,1H3","YFWLERXHLQLIOB"
"472_159.03_2.7",472,159.027761633326,2.6949923,0.0113189233068941,0.00441546642103707,0.680211806819428,0.946323324575187,0.080317493587979,0.0314497096544174,1.94619488269844,2.35502341363035,0.167355834043955,0.0239604554711072,1.09518985271268,1.50238335963259,0.741964867477802,0.775632975732853,1.13795016127119,1.04537695749598,1.53369817244781,1.46712452522535,-0.430577218978651,-0.366553954522918,0.186437373407739,0.0640232644557332,0.617014592386391,0.552991327930658,"Amino acids and Peptides","Small peptides","Aminoacids",NA,NA,NA,"[B]C(=O)NS(=O)(=O)C1CC1",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C4H6BNO3S/c5-4(7)6-10(8,9)3-1-2-3/h3H,1-2H2,(H,6,7)","LBNHMGMYDHLIKE"
"889_176.1_7.3",889,176.102950639483,7.2595716,0.0123380712909573,0.027659412947674,0.999028200278545,0.966183814685154,0.00971382190414394,0.0217565664664622,1.90875272467561,1.55815704173543,0.00042225246220284,0.0149402420014353,2.01260986326329,1.66240964216906,0.621776152381752,0.591844109763905,0.976384626093148,0.95186042034068,1.57031533350555,1.64973277588695,-0.685532810309314,-0.756710871207553,-0.0344785159028641,-0.071178060898239,0.65105429440645,0.722232355304689,"Amino acids and Peptides","Small peptides","Aminoacids","2,4-Imidazolidinedione, 3-(hydroxymethyl)-5,5-dimethyl-","NC(=O)NCCC[C@H](N)C(O)=O","NC(=O)NCCC[C@H](N)C(=O)O","CC1(C(=O)N(C(=O)N1)CO)C","1S/C6H13N3O3/c7-4(5(10)11)2-1-3-9-6(8)12/h4H,1-3,7H2,(H,10,11)(H3,8,9,12)/t4-/m0/s1",NA,"RHGKLRLOHDJJDR-BYPYZUCNSA-N","RHGKLRLOHDJJDR","RHGKLRLOHDJJDR","InChI=1S/C6H13N3O3/c7-4(5(10)11)2-1-3-9-6(8)12/h4H,1-3,7H2,(H,10,11)(H3,8,9,12)/t4-/m0/s1","RHGKLRLOHDJJDR-BYPYZUCNSA-N","InChI=1S/C6H10N2O3/c1-6(2)4(10)8(3-9)5(11)7-6/h9H,3H2,1-2H3,(H,7,11)","IVQCQIORBPXQGP"
"879_159.08_7.3",879,159.076675461457,7.254897,0.0133124533687888,0.0256298546707148,0.999929987262038,0.981341294409514,0.0120520855831213,0.023198864914697,1.87574190047264,1.5912538563942,3.04072102183875e-05,0.00817992585029732,1.91893779301715,1.6345332639601,0.621937113378416,0.597183789428306,0.989961197925724,0.96019963527237,1.59173841957778,1.65771612600776,-0.685159383990959,-0.743753090883109,-0.0145561158134935,-0.0585937068921502,0.670603268177465,0.729196975069615,"Amino acids and Peptides","Small peptides","Primary amides","3-Acetyltetramic acid",NA,"CC1=NC[C@H](O)[C@@H](C(=O)O)N1","CC(=O)C1=C(CNC1=O)O",NA,NA,NA,NA,"KIIBBJKLKFTNQO","InChI=1S/C6H10N2O3/c1-3-7-2-4(9)5(8-3)6(10)11/h4-5,9H,2H2,1H3,(H,7,8)(H,10,11)/t4-,5-/m0/s1","KIIBBJKLKFTNQO-WHFBIAKZSA-N","InChI=1S/C6H7NO3/c1-3(8)5-4(9)2-7-6(5)10/h9H,2H2,1H3,(H,7,10)","PHWJWQHPYLBZPF"
"31_425.36_0.5",31,425.36248051868,0.49033463,0.0154451208863956,0.0209172724008415,0.000350541352638012,0.998053932276533,0.15618056596729,0.118291740115518,1.81120868819846,1.67949494783987,3.45526074185381,0.000845989917801663,0.806373007707496,0.927045579526677,0.762577642532486,0.775537319859313,0.571210817597043,1.01699456764007,0.749052667870092,0.736535564401549,-0.391043860545516,-0.366731887603452,-0.807904793486334,0.0243119729420638,-0.416860932940818,-0.441172905882882,"Fatty acids","Fatty esters","Wax monoesters",NA,NA,NA,"CC(C)CCCCCCOC(=O)C1CCCCC1C(=O)OCCCCCCC(C)C",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C26H48O4/c1-21(2)15-9-5-7-13-19-29-25(27)23-17-11-12-18-24(23)26(28)30-20-14-8-6-10-16-22(3)4/h21-24H,5-20H2,1-4H3","HORIEOQXBKUKGQ"
